MeasureName,Aliases,Domain,Business Capability,Capability Description,Capability Confidence,Measure Description,Evidence / Source Excerpt
Adjusted Forecast,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,Represents the consensus demand forecast after cross-functional review and manual overrides applied on top of the statistical or driver-based baseline.,Adjusted Forecast after collaborative review and adjustments
Adjusted Forecast,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,Represents the consensus demand forecast after cross-functional review and manual overrides applied on top of the statistical or driver-based baseline.,Adjusted Forecast after collaborative review and adjustments
Short Term Driver Based Forecast,ST Driver Based Fcst,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-horizon forecast generated by decomposing demand into quantifiable short-term drivers (promotions, media, pricing, etc.) and applying them to a base.",Short Term Driver Based Fcst from decomposed driver inputs
Long Term Driver Based Forecast,MT Driver Based Fcst,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Long-horizon demand forecast derived from strategic drivers including demographics, macro-economics, NPD, and category trends.",Long Term Driver Based Fcst for strategic horizon planning
LY Sales,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Last year's actual sales volume used as a reference baseline for year-over-year comparison and forecast calibration.,LY Sales used as historical baseline reference
Forecast Multiplication Factor,Fcst Multiplication Factor,Demand Planning,Statistical & ML Forecast Generation,Generates baseline demand forecasts using statistical algorithms and ML models to produce data-driven predictions at DFU level.,MEDIUM,A multiplicative scaling factor applied to the base statistical or driver-based forecast to account for seasonality or other systematic adjustments.,Fcst Multiplication Factor applied to baseline forecast
Forecast Multiplication Factor,Fcst Multiplication Factor,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",MEDIUM,A multiplicative scaling factor applied to the base statistical or driver-based forecast to account for seasonality or other systematic adjustments.,Fcst Multiplication Factor applied to baseline forecast
LLY Sales,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Two years ago actual sales volume used to identify multi-year trends and validate forecasting models.,LLY Sales as two-year historical reference
Actual,,Demand Planning,Demand Sensing & Actuals Tracking,Captures near-term demand actuals and signals at location and DFU level for operational and short-horizon planning.,HIGH,Confirmed actual demand or sales quantity at the DFU level used for performance measurement and model recalibration.,Actual demand quantity at DFU for performance tracking
Actual,,Demand Planning,Historical Data Management & Cleansing,"Manages, cleanses, and adjusts historical sales and demand data to establish reliable baselines for forecasting.",HIGH,Confirmed actual demand or sales quantity at the DFU level used for performance measurement and model recalibration.,Actual demand quantity at DFU for performance tracking
